  Year          Age           Female          Male            Total
  2000           0            362246.66       380982.78       743229.43
  2000           1            354288.33       371892.85       726181.18
  2000           2            350344.21       368268.07       718612.28
  2000           3            351312.27       370227.17       721539.45
  2000           4            353345.34       371065.57       724410.91
  2000           5            346926.36       363644.49       710570.85
  2000           6            342342.27       358783.21       701125.49
  2000           7            350183.83       367483.38       717667.21
  2000           8            363896.17       382376.36       746272.53
  2000           9            368869.27       387915.24       756784.51
  2000          10            373278.10       391830.08       765108.18
  2000          11            376659.43       394824.73       771484.17
  2000          12            377280.24       395766.36       773046.60
  2000          13            380850.19       398934.43       779784.62
  2000          14            381492.82       398999.24       780492.06
  2000          15            378176.68       394205.45       772382.13
  2000          16            369479.82       384134.82       753614.64
  2000          17            379765.86       395211.03       774976.89
  2000          18            395580.75       411417.63       806998.38
  2000          19            399143.46       412163.96       811307.41
  2000          20            386948.07       395980.08       782928.15
  2000          21            369011.83       374840.45       743852.29
  2000          22            368751.81       373275.20       742027.00
  2000          23            363226.94       366104.95       729331.89
  2000          24            359071.92       359927.48       718999.41
  2000          25            383111.58       382982.13       766093.71
  2000          26            403077.25       402604.64       805681.90
  2000          27            426543.72       425887.10       852430.81
  2000          28            430509.09       429154.78       859663.88
  2000          29            429844.46       428512.37       858356.83
  2000          30            420361.06       418422.85       838783.91
  2000          31            421615.88       418189.62       839805.50
  2000          32            422267.32       418307.35       840574.67
  2000          33            428714.00       424722.74       853436.74
  2000          34            438015.48       433878.93       871894.41
  2000          35            444331.38       438460.92       882792.30
  2000          36            447180.82       439351.16       886531.98
  2000          37            439534.76       430902.70       870437.45
  2000          38            432901.34       424166.63       857067.97
  2000          39            436653.23       427428.21       864081.45
  2000          40            434906.99       424741.57       859648.56
  2000          41            435253.32       423627.63       858880.95
  2000          42            428688.22       416932.91       845621.13
  2000          43            429033.67       417424.97       846458.64
  2000          44            427170.40       414427.00       841597.41
  2000          45            427767.86       415718.65       843486.52
  2000          46            423509.28       413531.92       837041.20
  2000          47            423733.61       414626.92       838360.53
  2000          48            422975.26       415163.55       838138.81
  2000          49            425381.68       419881.69       845263.37
  2000          50            432677.40       428466.39       861143.79
  2000          51            430302.88       427921.17       858224.05
  2000          52            423695.50       422751.90       846447.40
  2000          53            414366.19       412224.23       826590.43
  2000          54            355323.12       352800.21       708123.33
  2000          55            303219.53       299945.03       603164.57
  2000          56            301376.40       297115.04       598491.44
  2000          57            285942.22       281920.00       567862.22
  2000          58            267329.90       262516.55       529846.46
  2000          59            243343.36       236224.19       479567.55
  2000          60            279295.43       265872.18       545167.61
  2000          61            279433.07       261473.06       540906.13
  2000          62            280259.77       259175.59       539435.36
  2000          63            282023.60       257430.04       539453.64
  2000          64            283679.08       254096.28       537775.36
  2000          65            289452.99       254631.35       544084.34
  2000          66            290565.87       251572.33       542138.20
  2000          67            293156.89       249209.60       542366.48
  2000          68            298612.08       248678.93       547291.01
  2000          69            299849.03       244203.52       544052.54
  2000          70            290137.65       231969.50       522107.15
  2000          71            283354.51       221806.47       505160.98
  2000          72            280045.30       213733.02       493778.32
  2000          73            274538.82       204279.47       478818.29
  2000          74            270123.36       195147.34       465270.70
  2000          75            265651.53       185737.53       451389.06
  2000          76            256119.96       174273.34       430393.29
  2000          77            250091.78       165999.25       416091.03
  2000          78            249781.37       161308.92       411090.29
  2000          79            245297.14       154387.58       399684.73
  2000          80            200333.24       120193.14       320526.38
  2000          81            119697.51        68179.66       187877.17
  2000          82            108566.26        58834.89       167401.15
  2000          83             92411.12        47696.99       140108.11
  2000          84             84200.96        41486.91       125687.87
  2000          85            129478.54        60165.72       189644.26
  2000          86            134416.91        59496.46       193913.37
  2000          87            121649.08        51317.34       172966.42
  2000          88            103140.43        40519.05       143659.48
  2000          89             89412.72        32649.51       122062.22
  2000          90             76869.97        26182.10       103052.08
  2000          91             63886.90        20150.71        84037.61
  2000          92             50645.21        14859.09        65504.30
  2000          93             39684.66        10721.53        50406.19
  2000          94             30367.73         7592.44        37960.17
  2000          95             22496.03         5265.99        27762.02
  2000          96             16281.15         3445.69        19726.84
  2000          97             11696.59         2227.03        13923.62
  2000          98              7962.07         1397.64         9359.71
  2000          99              5125.86          822.53         5948.39
  2000         100              3121.70          481.04         3602.74
  2000         101              1890.12          243.12         2133.24
  2000         102              1135.70          122.13         1257.83
  2000         103               634.86           68.62          703.47
  2000         104               345.19           30.03          375.22
  2000         105               190.08           12.41          202.49
  2000         106                99.27            7.66          106.94
  2000         107                43.84            3.39           47.23
  2000         108                17.46            1.33           18.78
  2000         109                 6.54            1.00            7.54
  2000         110+                7.42            1.53            8.95
  2001           0            369153.92       386958.66       756112.57
  2001           1            363220.53       381893.97       745114.49
  2001           2            356102.76       373838.83       729941.59
  2001           3            352487.02       370767.68       723254.70
  2001           4            353545.90       372787.92       726333.82
  2001           5            355292.20       373141.79       728433.99
  2001           6            348726.54       365531.12       714257.66
  2001           7            344149.12       360694.11       704843.23
  2001           8            352098.34       369594.02       721692.36
  2001           9            365740.96       384303.04       750044.00
  2001          10            370825.87       390221.36       761047.22
  2001          11            375635.71       394643.78       770279.48
  2001          12            379489.63       398190.61       777680.24
  2001          13            380053.12       399076.93       779130.05
  2001          14            383955.58       401870.65       785826.23
  2001          15            384719.53       401433.57       786153.10
  2001          16            380999.20       395818.00       776817.20
  2001          17            371504.10       385442.83       756946.92
  2001          18            381549.18       395003.04       776552.22
  2001          19            396358.46       409124.30       805482.77
  2001          20            399517.48       408170.27       807687.75
  2001          21            387317.64       392022.06       779339.70
  2001          22            369126.53       371680.62       740807.15
  2001          23            369302.93       371240.40       740543.33
  2001          24            364122.68       364930.17       729052.85
  2001          25            360088.11       359279.96       719368.07
  2001          26            384238.85       382742.38       766981.23
  2001          27            404512.98       402809.79       807322.77
  2001          28            428701.95       426682.74       855384.69
  2001          29            432660.62       430653.68       863314.31
  2001          30            432107.96       430447.79       862555.75
  2001          31            422661.13       420733.09       843394.22
  2001          32            423658.52       420328.45       843986.98
  2001          33            424175.06       420267.20       844442.26
  2001          34            430455.61       426357.91       856813.51
  2001          35            439645.46       434855.38       874500.84
  2001          36            445626.55       439033.34       884659.89
  2001          37            448386.90       439777.02       888163.92
  2001          38            440789.81       431358.02       872147.83
  2001          39            433832.05       424662.18       858494.23
  2001          40            437535.98       427751.54       865287.51
  2001          41            435672.18       424646.75       860318.93
  2001          42            435869.42       423248.51       859117.94
  2001          43            429076.05       416356.49       845432.53
  2001          44            429345.97       416616.69       845962.66
  2001          45            427468.45       413454.74       840923.19
  2001          46            427842.63       414600.01       842442.64
  2001          47            423627.14       412217.97       835845.11
  2001          48            424152.86       413352.98       837505.84
  2001          49            423204.48       413915.15       837119.63
  2001          50            425439.04       418515.67       843954.71
  2001          51            432802.30       426908.12       859710.43
  2001          52            430482.05       426321.20       856803.25
  2001          53            424047.02       421125.42       845172.45
  2001          54            414801.97       410544.53       825346.50
  2001          55            355503.38       350959.78       706463.16
  2001          56            303221.80       298123.15       601344.95
  2001          57            301216.60       294941.43       596158.03
  2001          58            285913.84       280102.55       566016.38
  2001          59            267260.71       260462.33       527723.04
  2001          60            243117.20       233919.63       477036.83
  2001          61            279035.55       263141.70       542177.25
  2001          62            279006.82       258467.57       537474.39
  2001          63            279637.50       255901.21       535538.71
  2001          64            281354.85       253820.52       535175.37
  2001          65            283032.89       250314.51       533347.40
  2001          66            288490.24       250283.86       538774.10
  2001          67            289271.20       247010.17       536281.37
  2001          68            291860.02       244484.95       536344.97
  2001          69            296939.07       243213.31       540152.38
  2001          70            297682.26       238396.33       536078.60
  2001          71            287658.49       226008.81       513667.30
  2001          72            280468.77       215390.76       495859.53
  2001          73            276969.94       206979.11       483949.05
  2001          74            270916.33       197202.16       468118.48
  2001          75            265906.11       187706.37       453612.47
  2001          76            260814.92       177919.83       438734.75
  2001          77            250726.55       166137.48       416864.03
  2001          78            244154.42       157506.66       401661.08
  2001          79            242718.89       152166.26       394885.15
  2001          80            236445.51       142003.26       378448.77
  2001          81            192229.30       111556.63       303785.94
  2001          82            114196.47        62608.39       176804.86
  2001          83            102888.48        53485.30       156373.78
  2001          84             86820.84        42960.98       129781.81
  2001          85             78300.23        36956.97       115257.20
  2001          86            119244.07        52871.32       172115.39
  2001          87            122368.64        51630.65       173999.29
  2001          88            109306.08        43804.64       153110.72
  2001          89             91271.10        33922.70       125193.81
  2001          90             77906.53        26803.53       104710.06
  2001          91             65712.12        20958.36        86670.47
  2001          92             53397.92        15797.88        69195.79
  2001          93             41358.34        11418.00        52776.34
  2001          94             31732.93         7957.18        39690.12
  2001          95             23691.66         5486.23        29177.89
  2001          96             17039.72         3692.32        20732.04
  2001          97             12076.48         2348.81        14425.29
  2001          98              8454.10         1462.18         9916.28
  2001          99              5569.84          903.51         6473.35
  2001         100              3483.73          509.13         3992.86
  2001         101              2032.82          290.73         2323.55
  2001         102              1191.86          139.61         1331.47
  2001         103               704.68           64.81          769.49
  2001         104               380.99           35.24          416.24
  2001         105               197.34           16.62          213.96
  2001         106               103.63            6.04          109.67
  2001         107                50.80            4.17           54.97
  2001         108                22.58            1.34           23.93
  2001         109                 7.78            0.84            8.62
  2001         110+                5.52            1.32            6.84
  2002           0            364415.87       381404.97       745820.84
  2002           1            370080.41       387897.75       757978.16
  2002           2            365232.36       384113.24       749345.61
  2002           3            358373.42       376305.81       734679.23
  2002           4            354714.55       373312.83       728027.37
  2002           5            355472.00       374923.95       730395.95
  2002           6            357255.29       375161.03       732416.32
  2002           7            350588.48       367361.68       717950.16
  2002           8            345994.63       362639.90       708634.53
  2002           9            354000.25       371593.67       725593.92
  2002          10            367650.24       386310.83       753961.08
  2002          11            372823.30       392440.08       765263.38
  2002          12            378024.17       397359.68       775383.85
  2002          13            382238.86       401299.17       783538.03
  2002          14            383261.02       402076.58       785337.60
  2002          15            387236.39       404512.56       791748.95
  2002          16            388246.26       403861.20       792107.45
  2002          17            383720.74       398323.98       782044.72
  2002          18            373607.76       386174.26       759782.02
  2002          19            382827.95       393796.64       776624.58
  2002          20            396979.44       405906.59       802886.03
  2002          21            400292.14       404800.97       805093.11
  2002          22            387975.45       389170.35       777145.80
  2002          23            369809.19       369797.44       739606.63
  2002          24            370287.83       370361.89       740649.72
  2002          25            365284.75       364635.56       729920.31
  2002          26            361579.17       359669.82       721248.99
  2002          27            385882.92       383428.30       769311.22
  2002          28            406703.11       403863.28       810566.39
  2002          29            431412.40       428586.37       859998.77
  2002          30            435141.47       432664.29       867805.76
  2002          31            434537.38       432794.81       867332.19
  2002          32            424891.17       422950.05       847841.22
  2002          33            425477.02       422185.08       847662.11
  2002          34            426037.90       421997.01       848034.91
  2002          35            432211.53       427566.14       859777.67
  2002          36            441249.20       435706.11       876955.31
  2002          37            446879.68       439485.62       886365.30
  2002          38            449603.27       440159.30       889762.56
  2002          39            441980.96       431903.32       873884.28
  2002          40            434734.18       424895.10       859629.27
  2002          41            438292.12       427882.36       866174.48
  2002          42            436350.44       424541.27       860891.71
  2002          43            436328.50       422620.99       858949.49
  2002          44            429419.11       415679.49       845098.59
  2002          45            429446.44       415666.61       845113.05
  2002          46            427683.35       412371.09       840054.44
  2002          47            427866.85       413269.88       841136.73
  2002          48            423707.97       410771.53       834479.50
  2002          49            424517.23       412009.04       836526.27
  2002          50            423351.46       412536.31       835887.78
  2002          51            425372.55       416908.49       842281.04
  2002          52            432906.53       425253.98       858160.51
  2002          53            430649.80       424444.22       855094.02
  2002          54            424371.84       419332.72       843704.56
  2002          55            415029.01       408446.52       823475.53
  2002          56            355640.57       349000.80       704641.37
  2002          57            303093.03       295962.21       599055.24
  2002          58            300973.90       292771.89       593745.80
  2002          59            285816.78       278009.24       563826.02
  2002          60            267061.44       258047.83       525109.27
  2002          61            242828.53       231474.77       474303.30
  2002          62            278628.16       260171.02       538799.18
  2002          63            278442.29       255279.95       533722.24
  2002          64            278887.40       252338.22       531225.62
  2002          65            280481.01       250067.68       530548.69
  2002          66            282185.87       246205.08       528390.95
  2002          67            287231.04       245742.14       532973.18
