country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
FRATNP,2000,1,short,3,0,272043,1992,401,267,374,1342,1958,2314,2709,3943,6374,9782,13615,12962,17974,26844,35059,43545,29056,61532,36450,25082,19618,5464,.,.
FRATNP,2000,1,short,3,1,5757.26,78.92,27.77,2.14,8.33,7.45,12.11,55.23,137.38,295.78,294.87,237.85,261.56,235.23,315.94,469.18,633.86,826.21,596.43,1261.01,766.07,494.95,394.18,100.77,.,.
FRATNP,2000,1,short,3,2,94230.24,19.99,67.76,69.42,56.26,123.45,133.25,208.52,319.04,663.84,1792.08,3876.37,6421.51,6547.46,9166.34,12918.05,15068.64,15679.23,8541.21,12557.83,8324.24,4233.58,3476.14,757.44,.,.
FRATNP,2000,1,short,3,3,1040.84,16.84,22.22,7.48,8.33,6.39,8.81,9.02,11.35,10.01,16.32,31.07,37.06,29.54,37.54,78.89,109.79,159.84,108.63,331.73,181.74,149.99,112.62,37.36,.,.
FRATNP,2000,1,short,3,4,8296.02,46.3,13.33,8.54,10.42,8.51,14.32,27.05,22.71,57.82,99.02,172.5,280.62,296.41,432.72,805.5,1082.32,1424.06,985,2508.86,1392.66,1116.2,849,267.2,.,.
FRATNP,2000,1,short,3,5,7429.72,0,3.33,0,0,5.32,30.83,50.72,110.13,200.15,348.19,505.71,452.17,369.2,361.82,450.5,536.5,858.38,775.05,2371.72,1331.37,1040.35,799.19,241.16,.,.
FRATNP,2000,1,short,3,6,9149.77,65.24,33.32,19.22,28.13,64.92,56.16,64.25,99.91,128.99,175.18,240,293.33,251.05,374.33,687.16,1165.18,1809.14,1286.87,2307.37,1553.27,754.11,620.51,133.6,.,.
FRATNP,2000,1,short,3,7,54789.37,44.2,8.89,7.48,10.42,29.8,45.15,71.01,120.35,321.36,739.9,1202.13,1878.59,1848.1,2815.28,4695.96,7045.98,9787.84,7256.43,16860.54,9654.56,7205.98,5582.4,1623.58,.,.
FRATNP,2000,1,short,3,8,16833.8,13.68,3.33,3.2,6.25,8.51,22.02,30.43,36.33,84.51,155.6,278.57,366.4,413.5,677.75,1247.69,2124.25,3338.04,2458.85,5564.87,3367.53,2197.35,1771.64,425.71,.,.
FRATNP,2000,1,short,3,9,7511.96,0,1.11,0,0,4.26,6.61,9.02,21.57,38.92,87.05,148.93,225.56,270.04,428.55,678.86,1058.5,1485.3,959.93,2087.76,1261.63,826.12,655.16,170.96,.,.
FRATNP,2000,1,short,3,10,7662.32,11.58,6.66,0,4.17,5.32,4.4,7.89,14.76,12.23,44.61,78.21,113.31,130.8,191.86,353.96,643.18,1106.45,1098.86,3834.06,1848.07,1985.99,1465.18,520.81,.,.
FRATNP,2000,1,short,3,11,11649.23,12.63,6.66,4.27,6.25,12.77,18.72,16.91,26.11,40.03,65.29,127.5,256.27,283.75,514.05,1083.68,1712.04,2196.3,1675.44,3590.55,2111.18,1479.37,1128.39,350.98,.,.
FRATNP,2000,1,short,3,12,13252.7,26.31,6.66,1.07,3.13,4.26,9.91,33.81,78.34,220.17,512.49,841.06,1141.55,969.41,1236.64,1550.79,1589.82,1728.18,1049.76,2249.34,1333.49,915.86,723.38,192.47,.,.
FRATNP,2000,1,short,3,13,1935.77,2.1,3.33,2.14,1.04,3.19,3.3,1.13,5.68,14.46,13.06,18.21,37.06,45.36,63.6,121.45,210.25,340.45,280.98,768.98,433.22,335.76,259.9,75.86,.,.
FRATNP,2000,1,short,3,14,3850.55,9.47,0,0,1.04,0,3.3,7.89,7.95,10.01,16.32,37.5,56.12,72.78,136.59,236.67,394.61,640.41,588.08,1631.8,899.2,732.6,545.79,186.81,.,.
FRATNP,2000,1,short,3,15,2098.37,1568.98,41.1,21.36,26.04,24.48,22.02,31.56,26.11,25.58,31.55,36.43,38.12,32.7,28.15,26.99,36.25,28.02,24.02,28.89,17.96,10.93,8.66,2.26,.,.
FRATNP,2000,1,short,3,16,26555.07,75.77,155.51,120.68,204.19,1033.37,1567.06,1689.57,1671.27,1819.16,1982.49,1949.97,1755.75,1166.66,1192.84,1438.68,1647.82,2137.13,1370.44,3576.69,1973.81,1602.88,1225.85,377.02,.,.
FRATNP,2001,1,short,3,0,272274,1958,433,257,368,1429,1992,2221,2684,4027,6217,9903,14005,13750,17187,25482,34530,42465,34438,58928,33144,25784,20066,5718,.,.
FRATNP,2001,1,short,3,1,5448.88,35.73,21.17,8.75,5.26,15.18,15.61,30.44,113.94,291.6,291.03,244.1,278.95,245.59,281.91,392.09,583.84,824.04,649.4,1120.24,625.3,494.94,383.92,111.02,.,.
FRATNP,2001,1,short,3,2,95306.89,16.82,74.11,65.62,75.7,105.17,144.99,184.9,326.87,640.84,1671.48,3845.98,6515.93,7049.14,8749.65,12475.08,15234.04,15668.17,10447.98,12014.43,7626.73,4387.7,3636.89,750.8,.,.
FRATNP,2001,1,short,3,3,1041.37,10.51,10.59,4.37,5.26,6.51,6.69,2.25,4.6,21.47,19.77,26.04,38.33,33.87,54.5,74.04,96.79,163.76,148.73,313.29,144.38,168.91,118.55,50.36,.,.
FRATNP,2001,1,short,3,4,8554.16,39.94,24.35,12.03,16.82,13.01,21.19,29.31,27.62,65.55,118.61,197.45,316.21,308.05,430.72,769.59,1115.65,1471.79,1245.38,2330.87,1228.3,1102.57,823.3,279.26,.,.
