country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
FRATNP,2000,1,short,3,0,5229,271,144,189,672,1047,1118,1282,1825,3039,4705,6660,9408,13847,21505,32860,51734,86251,182061,149195,267788,246672,386613,.,.
FRATNP,2000,1,short,3,1,207,19,1,4,4,6,27,65,137,141,114,128,171,243,376,594,982,1770,3731,3136,5284,4956,7130,.,.
FRATNP,2000,1,short,3,2,52,46,37,28,62,71,101,151,307,855,1865,3141,4752,7062,10349,14123,18628,25354,37156,34072,45200,43708,53594,.,.
FRATNP,2000,1,short,3,3,44,15,4,4,3,5,4,5,5,8,15,18,21,29,63,103,190,322,982,744,1601,1416,2644,.,.
FRATNP,2000,1,short,3,4,122,9,5,5,4,8,13,11,27,47,83,137,215,333,645,1014,1692,2924,7423,5700,11917,10675,18906,.,.
FRATNP,2000,1,short,3,5,0,2,0,0,3,16,25,52,93,166,243,221,268,279,361,503,1020,2301,7017,5450,11107,10049,17064,.,.
FRATNP,2000,1,short,3,6,171,22,10,14,33,30,31,47,60,84,115,143,182,288,550,1092,2149,3820,6827,6358,8051,7802,9453,.,.
FRATNP,2000,1,short,3,7,116,6,4,5,15,24,34,57,149,353,578,919,1341,2169,3762,6604,11629,21540,49887,39518,76935,70192,114878,.,.
FRATNP,2000,1,short,3,8,36,2,2,3,4,12,15,17,39,74,134,179,300,522,1000,1991,3966,7299,16465,13784,23460,22276,30121,.,.
FRATNP,2000,1,short,3,9,0,1,0,0,2,4,4,10,18,42,72,110,196,330,544,992,1765,2850,6177,5164,8820,8238,12097,.,.
FRATNP,2000,1,short,3,10,30,4,0,2,3,2,4,7,6,21,38,55,95,148,284,603,1315,3262,11344,7564,21203,18423,36851,.,.
FRATNP,2000,1,short,3,11,33,4,2,3,6,10,8,12,19,31,61,125,206,396,868,1605,2609,4973,10624,8641,15795,14188,24834,.,.
FRATNP,2000,1,short,3,12,69,4,1,2,2,5,16,37,102,244,405,558,704,953,1242,1490,2053,3116,6655,5458,9778,9096,13619,.,.
FRATNP,2000,1,short,3,13,6,2,1,1,2,2,1,3,7,6,9,18,33,49,97,197,404,834,2275,1773,3585,3268,5367,.,.
